Date;FTSEMIB.MI;^AEX;^FCHI;^FTAS;^GDAXI;^GSPC;^IBEX;^N225;^OMX;^SSMI
2004-12-31;;;;2410.75;;1211.920044;;;;
2005-01-03;31005.0;351.910004;3855.679932;;4291.529785;1202.079956;9124.099609;;747.76001;5768.700195
2005-01-04;31094.0;352.679993;3863.3000490000004;2426.860107;4290.5;1188.050049;9120.0;11517.75;753.5599980000001;5775.5
2005-01-05;30976.0;350.160004;3829.360107;2406.560059;4258.240234000001;1183.73999;9024.400391;11437.519531;745.22998;5725.5
2005-01-06;31073.0;353.600006;3856.4799799999996;2414.5;4300.939941;1187.890015;;11492.259766;745.22998;5742.399902
2005-01-07;31128.0;354.459991;3877.959961;2429.22998;4316.399902;1186.189941;9041.099609;11433.240234;748.02002;5735.200195
2005-01-10;31134.0;355.130005;3877.820068;2423.530029;4307.370117;1190.25;9028.5;;757.450012;5731.799805
2005-01-11;30740.0;352.380005;3848.98999;2414.26001;4258.009765999999;1182.98999;8966.400391;11539.990234;747.799988;5713.100098
2005-01-12;30645.0;350.100006;3816.139893;2400.919922;4208.819824;1187.699951;8945.700195;11453.389648;734.3099980000001;5669.600098
2005-01-13;30863.0;351.089996;3834.110107;2410.149902;4212.140136999999;1177.449951;9016.799805;11358.219727;737.3599849999999;5687.799805
2005-01-14;31056.0;352.730011;3854.600098;2420.22998;4232.359863000001;1184.52002;9025.099609;11438.389648;742.630005;5730.100098
2005-01-17;31126.0;354.23999;3881.4399409999996;2432.540039;4245.509765999999;;9094.400391;11487.099609;747.72998;5761.299805
2005-01-18;31094.0;354.22000099999997;3875.0200200000004;2422.449951;4250.709961;1195.97998;9096.900391;11423.259766;746.159973;5739.399902
2005-01-19;31221.0;353.940002;3869.01001;2422.060059;4245.549805;1184.630005;9087.599609;11405.339844;746.090027;5749.5
2005-01-20;31132.0;352.75;3842.4399409999996;2415.199951;4220.430176;1175.410034;9017.700195;11284.769531;736.869995;5728.100098
2005-01-21;31190.0;353.549988;3854.1899409999996;2416.280029;4213.700195;1167.869995;8999.400391;11238.370117;735.099976;5738.100098
2005-01-24;31042.0;353.559998;3848.709961;2419.1201170000004;4201.890136999999;1163.75;8967.099609;11289.490234;727.5599980000001;5750.5
2005-01-25;31221.0;356.359985;3882.040039;2433.209961;4233.950195;1168.410034;9033.200195;11276.910156;736.1900019999999;5766.100098
2005-01-26;31164.0;356.51001;3879.820068;2435.719971;4214.120117;1174.069946;9058.099609;11376.570313;736.72998;5768.399902
2005-01-27;31129.0;358.570007;3891.399902;2438.3701170000004;4216.410156;1174.550049;9125.299805;11341.30957;741.919983;5773.700195
2005-01-28;31008.0;357.019989;3870.350098;2430.050049;4201.810059;1171.359985;9139.400391;11320.580078;735.320007;5750.700195
2005-01-31;31334.0;360.420013;3913.6899409999996;2441.219971;4254.850098;1181.27002;9223.900391;11387.589844;741.5;5771.399902
2005-02-01;31515.0;364.410004;3939.179932;2466.810059;4279.970215;1189.410034;9257.0;11384.400391;750.0599980000001;5797.899902
2005-02-02;31563.0;365.459991;3951.719971;2473.040039;4296.310059;1193.189941;9307.0;11407.139648;754.039978;5795.100098
2005-02-03;31537.0;364.829987;3928.9399409999996;2470.439941;4281.640136999999;1189.890015;9310.400391;11389.349609;750.119995;5816.899902
2005-02-04;31896.0;367.320007;3958.01001;2485.909912;4339.279785;1203.030029;9422.5;11360.400391;755.570007;5843.100098
2005-02-07;32039.0;369.130005;3981.899902;2503.389893;4366.350098;1201.719971;9461.700195;11499.860352;765.6900019999999;5870.700195
2005-02-08;32176.0;369.100006;3980.7700200000004;2512.050049;4371.390136999999;1202.300049;9479.200195;11490.429688;762.97998;5881.200195
2005-02-09;32101.0;368.359985;3969.6201170000004;2509.709961;4353.149902;1191.98999;9450.799805;11473.349609;769.049988;5866.5
2005-02-10;32134.0;367.480011;3970.3701170000004;2513.6201170000004;4342.009765999999;1197.01001;9451.200195;11553.55957;755.630005;5871.200195
2005-02-11;32328.0;371.049988;4016.75;2533.320068;4387.799805;1205.300049;9588.299805;;766.820007;5915.299805
2005-02-14;32307.0;371.799988;4012.110107;2532.409912;4386.399902;1206.140015;9585.0;11632.200195;765.380005;5913.0
2005-02-15;32371.0;373.809998;4030.4499509999996;2539.060059;4402.029785;1210.119995;9634.299805;11646.490234;770.400024;5916.899902
2005-02-16;32142.0;372.519989;4009.0200200000004;2533.300049;4368.77002;1210.339966;9575.599609;11601.679688;764.5599980000001;5870.799805
2005-02-17;32161.0;373.980011;4005.5;2535.060059;4369.680176;1200.75;9585.700195;11582.719727;764.1099849999999;5882.899902
2005-02-18;32008.0;375.47000099999997;4029.0200200000004;2534.72998;4359.470215;1201.589966;9570.099609;11660.120117;758.02002;5901.700195
2005-02-21;31675.0;374.98999;4022.6201170000004;2533.22998;4353.339844;;9464.599609;11651.019531;760.8599849999999;5928.0
2005-02-22;31507.0;373.130005;4002.330078;2519.3798829999996;4323.209961;1184.160034;9350.299805;11597.709961;758.6400150000001;5911.5
2005-02-23;31400.0;370.679993;3977.1899409999996;2499.300049;4310.660156;1190.800049;9354.099609;11500.179688;759.159973;5867.200195
